第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
中国人民解放军总医院第二医学中心,机关团体,北京,北京,2024,1,3,3.0,量子传感,量子传感,0
中国人民解放军总医院第二医学中心,机关团体,北京,北京,2025,2,23,11.5,量子基础概念；量子通信与安全,量子基础概念,0
中国人民解放军总医院第八医学中心,机关团体,北京,北京,2025,1,3,3.0,量子传感,量子传感,0
中国人民解放军总医院第六医学中心,机关团体,北京,北京,2024,1,5,5.0,量子计算,量子计算,0
中国人民解放军战略支援部队航天工程大学,高校,北京,北京,2021,3,11,3.6666666666666665,量子基础概念；量子传感,量子基础概念,0
中国人民解放军战略支援部队航天工程大学,高校,北京,北京,2022,5,20,4.0,量子基础概念,量子基础概念,0
中国人民解放军战略支援部队航天工程大学,高校,北京,北京,2023,2,8,4.0,量子基础概念,量子基础概念,0
中国人民解放军战略支援部队航天工程大学,高校,北京,北京,2025,1,4,4.0,量子基础概念,量子基础概念,0
中国人民解放军空军特色医学中心,机关团体,北京,北京,2023,1,5,5.0,量子计算,量子计算,0
中国人民银行清算总中心,企业,北京,北京,2023,1,5,5.0,量子通信与安全,量子通信与安全,0
中国信息通信研究院,科研院所,北京,北京,2021,1,5,5.0,量子通信与安全,量子通信与安全,0
中国信息通信研究院,科研院所,北京,北京,2022,3,24,8.0,量子计算；量子通信与安全,量子计算,0
中国信息通信研究院,科研院所,北京,北京,2023,3,20,6.666666666666667,量子通信与安全；量子计算,量子通信与安全,0
中国信息通信研究院,科研院所,北京,北京,2025,1,5,5.0,量子传感,量子传感,0
中国兵器工业标准化研究所,科研院所,北京,北京,2024,1,3,3.0,量子传感,量子传感,0
中国农业大学,高校,北京,北京,2023,1,5,5.0,量子计算,量子计算,0
中国北方车辆研究所,科研院所,北京,北京,2024,1,4,4.0,量子基础概念,量子基础概念,0
中国医学科学院病原生物学研究所,科研院所,北京,北京,2021,3,15,5.0,量子计算；量子计算硬件,量子计算,0
中国医学科学院病原生物学研究所,科研院所,北京,北京,2024,1,5,5.0,量子计算,量子计算,0
中国地质调查局自然资源综合调查指挥中心,机关团体,北京,北京,2024,1,5,5.0,量子通信与安全,量子通信与安全,0
中国工业互联网研究院,科研院所,北京,北京,2025,1,5,5.0,量子通信与安全,量子通信与安全,0
中国工商银行股份有限公司,企业,北京,北京,2023,1,9,9.0,量子通信与安全,量子通信与安全,0
中国工商银行股份有限公司,企业,北京,北京,2025,3,19,6.333333333333333,量子计算；量子通信与安全,量子通信与安全,0
中国建筑第二工程局有限公司,企业,北京,北京,2025,1,5,5.0,量子传感,量子传感,0
中国建设银行股份有限公司,企业,北京,北京,2022,1,5,5.0,量子通信与安全,量子通信与安全,0
中国林业科学研究院林业研究所,科研院所,北京,北京,2021,1,3,3.0,量子传感,量子传感,0
中国标准化研究院,科研院所,北京,北京,2025,8,71,8.875,量子基础概念；量子通信与安全,量子通信与安全,0
中国气象科学研究院,科研院所,北京,北京,2024,1,18,18.0,量子传感,量子传感,0
中国水产科学研究院渔业工程研究所,科研院所,北京,北京,2024,1,3,3.0,量子传感,量子传感,0
中国电信股份有限公司,企业,北京,北京,2022,2,14,7.0,量子通信与安全,量子通信与安全,0
中国电信股份有限公司,企业,北京,北京,2023,4,20,5.0,量子通信与安全；量子计算,量子通信与安全,0
中国电信股份有限公司,企业,北京,北京,2024,10,64,6.4,量子通信与安全；量子计算,量子通信与安全,0
中国电信股份有限公司,企业,北京,北京,2025,11,93,8.454545454545455,量子通信与安全；量子传感；量子计算,量子通信与安全,0
中国电信股份有限公司技术创新中心,企业,北京,北京,2025,7,45,6.428571428571429,量子通信与安全,量子通信与安全,0
中国电力科学研究院有限公司,企业,北京,北京,2022,1,3,3.0,量子传感,量子传感,0
中国电力科学研究院有限公司,企业,北京,北京,2023,2,6,3.0,量子传感,量子传感,0
中国电力科学研究院有限公司,企业,北京,北京,2024,3,16,5.333333333333333,量子传感,量子传感,0
中国电力科学研究院有限公司,企业,北京,北京,2025,1,3,3.0,量子传感,量子传感,0
中国电子信息产业集团有限公司第六研究所,企业,北京,北京,2024,1,10,10.0,量子通信与安全,量子通信与安全,0
中国电子技术标准化研究院,科研院所,北京,北京,2023,1,9,9.0,量子计算,量子计算,0
中国电子技术标准化研究院,科研院所,北京,北京,2024,2,13,6.5,量子传感；量子计算,量子传感,0
中国电子科技集团公司信息科学研究院,科研院所,北京,北京,2022,2,15,7.5,量子通信与安全,量子通信与安全,0
中国电子科技集团公司电子科学研究院,科研院所,北京,北京,2021,1,5,5.0,量子通信与安全,量子通信与安全,0
中国电子科技集团公司电子科学研究院,科研院所,北京,北京,2023,18,94,5.222222222222222,量子通信与安全,量子通信与安全,0
中国电子科技集团公司电子科学研究院,科研院所,北京,北京,2024,13,78,6.0,量子通信与安全,量子通信与安全,0
中国电子科技集团公司电子科学研究院,科研院所,北京,北京,2025,7,35,5.0,量子通信与安全,量子通信与安全,0
中国电子科技集团公司第十二研究所,科研院所,北京,北京,2022,1,3,3.0,量子传感,量子传感,0
中国电子科技集团公司第十二研究所,科研院所,北京,北京,2024,1,3,3.0,量子传感,量子传感,0
中国电子科技集团公司第十五研究所,科研院所,北京,北京,2024,1,5,5.0,量子计算,量子计算,0
中国电子科技集团有限公司电子科学研究院,企业,北京,北京,2025,11,91,8.272727272727273,量子通信与安全,量子通信与安全,0
中国石油化工股份有限公司,企业,北京,北京,2021,1,5,5.0,量子传感,量子传感,0
中国石油化工股份有限公司,企业,北京,北京,2024,1,5,5.0,量子计算,量子计算,0
中国石油天然气股份有限公司,企业,北京,北京,2023,8,40,5.0,量子计算硬件,量子计算硬件,0
中国石油天然气股份有限公司,企业,北京,北京,2024,1,5,5.0,量子计算硬件,量子计算硬件,0
中国石油天然气股份有限公司,企业,北京,北京,2025,1,5,5.0,量子计算硬件,量子计算硬件,0
中国石油天然气集团有限公司,企业,北京,北京,2025,1,3,3.0,量子传感,量子传感,0
中国科学院信息工程研究所,科研院所,北京,北京,2022,1,5,5.0,量子通信与安全,量子通信与安全,0
中国科学院信息工程研究所,科研院所,北京,北京,2023,1,5,5.0,量子传感,量子传感,0
中国科学院信息工程研究所,科研院所,北京,北京,2025,1,5,5.0,量子通信与安全,量子通信与安全,0
